Accel_X_mean,Accel_X_std,Accel_X_median,Accel_Y_mean,Accel_Y_std,Accel_Y_median,Accel_Z_mean,Accel_Z_std,Accel_Z_median,Gyro_X_mean,Gyro_X_std,Gyro_X_median,Gyro_Y_mean,Gyro_Y_std,Gyro_Y_median,Gyro_Z_mean,Gyro_Z_std,Gyro_Z_median,syllable_count,Label
0.563350923,0.058246973,0.55,-0.240897098,0.090569845,-0.22,0.78762533,0.075324041,0.8,0.320791557,33.58321124,1.48,-1.106728232,14.16493332,-0.78,0.08171504,23.60830105,-0.26,2,unlock
0.556404199,0.052764964,0.54,-0.25343832,0.076550565,-0.24,0.790866142,0.053346291,0.8,0.873832021,30.46975947,1.62,-0.922545932,13.62399279,-0.96,0.142887139,21.88218535,-0.47,2,unlock
0.555714286,0.046911428,0.545,-0.25505291,0.074432405,-0.25,0.789338624,0.057117652,0.8,0.467169312,32.66483759,1.365,-1.002830688,13.83748397,-0.57,0.06047619,21.71473669,-0.595,2,unlock
0.561319261,0.049934888,0.55,-0.250343008,0.078858513,-0.24,0.790712401,0.06118987,0.8,1.432427441,28.19375462,0.87,-0.137097625,11.61606302,-0.93,-0.327044855,22.20775353,0,2,unlock
0.560291005,0.054579851,0.54,-0.252354497,0.076248312,-0.24,0.790714286,0.062088051,0.8,1.852724868,28.3141633,0.825,-0.083624339,13.64328394,-0.84,-0.436984127,20.17786233,0.34,2,unlock
0.562222222,0.056730863,0.55,-0.246666667,0.083982441,-0.23,0.788227513,0.070132736,0.8,0.096243386,32.61350104,0.31,-1.089417989,14.62724581,-0.98,0.440793651,21.95541467,0.455,2,unlock
0.566428571,0.050269264,0.55,-0.233730159,0.061606273,-0.24,0.78994709,0.048489079,0.8,-0.02473545,22.70951003,0.02,-1.021587302,14.29398117,-0.605,0.44968254,16.12367732,0.495,2,unlock
0.561978892,0.039775023,0.55,-0.239525066,0.073749083,-0.22,0.789155673,0.05178123,0.8,0.753271768,29.88909227,0.26,-1.321292876,12.55413177,-0.84,0.010369393,17.31853863,0.17,2,unlock
0.558891821,0.051427623,0.54,-0.247915567,0.069580247,-0.24,0.790817942,0.055502668,0.8,-0.69055409,32.67579992,0.12,-0.835804749,13.78445878,-0.4,0.507783641,22.03576412,0.63,2,unlock
0.563131579,0.052352908,0.55,-0.243605263,0.093382082,-0.22,0.791526316,0.058537919,0.8,0.349578947,22.37309153,1.235,-0.760894737,13.29369608,-1.09,1.191289474,18.80164547,1.035,3,unlock
0.541972656,0.051549524,0.53,-0.284375,0.075429624,-0.27,0.791484375,0.063908445,0.8,0.173027344,35.96781099,1.58,-0.567832031,15.67681788,-0.285,0.518066406,25.11730035,-0.115,3,PickUpCall
0.535145119,0.048584923,0.52,-0.310237467,0.095868056,-0.29,0.783957784,0.058816892,0.8,0.592875989,43.87184802,1.47,-1.309023747,15.68704083,-1.1,0.074353562,27.54909221,1.31,3,PickUpCall
0.543386243,0.047507241,0.53,-0.291137566,0.100632098,-0.26,0.785820106,0.068604811,0.8,0.387777778,44.58739398,3.725,-1.467883598,14.35016887,-1.66,0.104126984,29.37400049,-1.23,3,PickUpCall
0.54469657,0.051358273,0.53,-0.258970976,0.092500517,-0.24,0.796543536,0.055691232,0.81,0.013799472,46.26906698,1.86,-1.041609499,15.72927235,-1.25,0.417414248,29.38552164,1.37,3,PickUpCall
0.544036939,0.053306627,0.53,-0.249868074,0.089482542,-0.22,0.799868074,0.057193938,0.81,0.155593668,37.31487978,1.82,-0.441899736,14.38129775,-0.26,0.173693931,27.0207189,0.67,3,PickUpCall
0.546084656,0.048756562,0.53,-0.275820106,0.096690539,-0.24,0.793386243,0.06275855,0.8,0.364497354,42.40034903,-1.035,-0.706402116,12.37685563,0.77,-0.525,27.93680581,1.075,3,PickUpCall
0.546992084,0.04783047,0.54,-0.264802111,0.078566188,-0.25,0.793984169,0.043390801,0.8,-0.232005277,36.74934893,-1.4,-0.965540897,12.11525762,-1.19,0.33828496,25.06519899,1.65,3,PickUpCall
0.546894737,0.052356999,0.53,-0.25,0.090530538,-0.22,0.799342105,0.059134825,0.81,-0.870763158,42.31949263,1.455,-0.359605263,13.50112483,-0.23,0.606289474,30.73118251,0.135,3,PickUpCall
0.540079365,0.046096935,0.53,-0.26515873,0.086227146,-0.24,0.799206349,0.055593301,0.81,1.77047619,34.14559162,1.43,-0.545820106,12.20653669,-0.325,-1.198994709,24.06555123,0.965,3,PickUpCall
0.545555556,0.050470816,0.53,-0.272301587,0.0893789,-0.25,0.794391534,0.05751969,0.81,0.674603175,44.79431978,0.01,-0.846428571,14.59294331,-0.505,-0.34494709,30.21190835,2.19,3,PickUpCall
0.546824147,0.049264517,0.54,-0.256850394,0.094440464,-0.24,0.796115486,0.063404527,0.8,1.205249344,45.66457697,2.46,-1.331732283,13.26079402,-0.47,-0.553385827,31.84290726,0.47,3,PickUpCall
